product,rating,rating count,price,product url
The Children's Place Girls' Short Sleeve Graphic T-Shirt  ,4.7 out of 5 stars,1277  ,4.6,https://amazon.com/Childrens-Place-Sleeve-Graphic-T-Shirt/dp/B0BRNWLTNX/ref=sr_1_1?keywords=clothing&qid=1682200303&sr=8-1
Onesies Brand baby-boys 8-pack Short Sleeve Mix & Match Bodysuits  ,4.7 out of 5 stars,7917  ,18.99,https://amazon.com/Onesies-Brand-8-Pack-Bodysuits-Dangerously/dp/B0863JB19K/ref=sr_1_2?keywords=clothing&qid=1682200303&sr=8-2
Amazon Essentials Women's Short-Sleeve Woven Blouse  ,4.1 out of 5 stars,6217  ,23.7,https://amazon.com/Amazon-Essentials-Short-Sleeve-Leopard-XX-Large/dp/B082ZTGN5Y/ref=sr_1_3?keywords=clothing&qid=1682200303&sr=8-3
OQQ Women's 2 Piece Crop Top Ribbed Seamless Workout Exercise Long Sleeve Crop Tops  ,4.5 out of 5 stars,2005  ,34.99,https://amazon.com/OQQ-Womens-Seamless-Workout-Exercise/dp/B0B65FLY1V/ref=sr_1_4?keywords=clothing&qid=1682200303&sr=8-4
Simple Joys by Carter's Toddlers and Baby Boys' Swimsuit Trunk and Rashguard  ,4.8 out of 5 stars,38154  ,15.2,https://amazon.com/Simple-Joys-Carters-Swimsuit-Rashguard/dp/B07211SR5Q/ref=sr_1_5?keywords=clothing&qid=1682200303&sr=8-5
"Simple Joys by Carter's Baby Girls' Short-Sleeve Bodysuit, Pack of 6  ",4.8 out of 5 stars,42636  ,18.1,https://amazon.com/Simple-Joys-Carters-Short-Sleeve-Bodysuits/dp/B08XW8S86J/ref=sr_1_6?keywords=clothing&qid=1682200303&sr=8-6
"Gildan Men's Crew T-Shirts, Multipack, Style G1100  ",4.6 out of 5 stars,250434  ,19.99,https://amazon.com/Gildan-Mens-T-Shirt-Assortment-X-Large/dp/B077ZJXCTS/ref=sr_1_7?keywords=clothing&qid=1682200303&sr=8-7
"Simple Joys by Carter's Baby Girls' Snap-Up Rompers, Pack of 3  ",4.8 out of 5 stars,20990  ,20.0,https://amazon.com/Simple-Joys-Carters-Snap-up-Rompers/dp/B071ZRMNTK/ref=sr_1_8?keywords=clothing&qid=1682200303&sr=8-8
"Simple Joys by Carter's Babies, Toddlers, and Boys' Knit Shorts, Multipacks  ",4.8 out of 5 stars,14523  ,23.1,https://amazon.com/Simple-Joys-Carters-3-Pack-Shorts/dp/B07GP3J9QB/ref=sr_1_9?keywords=clothing&qid=1682200303&sr=8-9
SOLY HUX Women's Casual Elastic Shorts Running High Waisted Color Block Sweat Shorts with Pockets  ,4.3 out of 5 stars,475  ,24.99,https://amazon.com/SOLY-HUX-Elastic-Waisted-Multicoloured/dp/B09F39YR1X/ref=sr_1_10?keywords=clothing&qid=1682200303&sr=8-10
"Simple Joys by Carter's Babies, Toddlers, and Boys' Short-Sleeve Pocket Henley Tee Shirt, Pack of 3  ",4.8 out of 5 stars,8399  ,29.6,https://amazon.com/Simple-Joys-Carters-Toddler-3-Pack/dp/B075X6CQK7/ref=sr_1_11?keywords=clothing&qid=1682200303&sr=8-11
Simple Joys by Carter's Toddlers and Baby Girls' 3-Piece Playwear Set  ,4.8 out of 5 stars,7859  ,20.0,https://amazon.com/Simple-Joys-Carters-Playwear-Chambray/dp/B07ZPQ1QZ6/ref=sr_1_12?keywords=clothing&qid=1682200303&sr=8-12
"Amazon Essentials Women's Slim Fit Square Neck Tank, Pack of 2  ",4.5 out of 5 stars,811  ,19.0,https://amazon.com/Amazon-Essentials-Womens-2-Pack-Square/dp/B09HSSQJ45/ref=sr_1_13?keywords=clothing&qid=1682200303&sr=8-13
Amazon Essentials Men's Slim-Fit Stretch Golf Pant  ,4.3 out of 5 stars,13262  ,23.92,https://amazon.com/Amazon-Essentials-Slim-Fit-Stretch-Black/dp/B07K3J1XVX/ref=sr_1_14?keywords=clothing&qid=1682200303&sr=8-14
"Simple Joys by Carter's Baby Boys' Rompers, Pack of 3  ",4.8 out of 5 stars,15048  ,23.8,https://amazon.com/Simple-Joys-Carters-Rompers-Turquoise/dp/B071JNL7MD/ref=sr_1_15?keywords=clothing&qid=1682200303&sr=8-15
Simple Joys by Carter's Baby Boys' 4-Piece Playwear Set  ,4.8 out of 5 stars,9110  ,22.8,https://amazon.com/Simple-Joys-Carters-4-Piece-Playwear/dp/B071JNLC54/ref=sr_1_16?keywords=clothing&qid=1682200303&sr=8-16
"PHISOCKAT 2 Pack High Waist Yoga Pants with Pockets, Tummy Control Leggings, Workout 4 Way Stretch Yoga Leggings  ",4.6 out of 5 stars,21859  ,31.98,https://amazon.com/PHISOCKAT-Pockets-Control-Workout-Leggings/dp/B07YZ8PQDQ/ref=sr_1_17?keywords=clothing&qid=1682200303&sr=8-17
Gerber baby-girls 8-pack Short Sleeve Onesies Bodysuits  ,4.8 out of 5 stars,24777  ,21.99,https://amazon.com/Gerber-8-Pack-Short-Sleeve-Onesies-Bodysuit/dp/B07GG1VGML/ref=sr_1_18?keywords=clothing&qid=1682200303&sr=8-18
"Simple Joys by Carter's Baby Girls' Long-Sleeve Bodysuit, Pack of 5  ",4.8 out of 5 stars,37068  ,16.1,https://amazon.com/Simple-Joys-Carters-Long-Sleeve-Bodysuit/dp/B01M2CO9DQ/ref=sr_1_19?keywords=clothing&qid=1682200303&sr=8-19
"Amazon Essentials Men's Performance Tech Loose-Fit Shorts (Available in Big & Tall), Multipacks  ",4.6 out of 5 stars,60826  ,18.32,https://amazon.com/Amazon-Essentials-2-Pack-Loose-Fit-Performance/dp/B08JLCW7VN/ref=sr_1_20?keywords=clothing&qid=1682200303&sr=8-20
Amazon Essentials Women's Brushed Tech Stretch Crop Jogger Pant (Available in Plus Size)  ,4.4 out of 5 stars,3840  ,23.7,https://amazon.com/Amazon-Essentials-Brushed-Stretch-Spacedye/dp/B07FK1FXNL/ref=sr_1_21?keywords=clothing&qid=1682200303&sr=8-21
Hudson Baby Unisex Baby Cotton Sleeveless Bodysuits  ,4.8 out of 5 stars,33520  ,15.99,https://amazon.com/Hudson-Baby-Sleeveless-Cotton-Bodysuits/dp/B079YFV6B8/ref=sr_1_22?keywords=clothing&qid=1682200303&sr=8-22
Lviefent Womens Lightweight Full Zip Running Track Jacket Workout Slim Fit Yoga Sportwear with Thumb Holes  ,4.4 out of 5 stars,4652  ,20.35,https://amazon.com/Lviefent-Lightweight-Running-Workout-Sportwear/dp/B091BVBJPD/ref=sr_1_23?keywords=clothing&qid=1682200303&sr=8-23
The Children's Place Baby Girls' and Toddler Pull on Jean Shorts  ,4.9 out of 5 stars,40  ,12.25,https://amazon.com/Childrens-Place-Toddler-Shorts-Months/dp/B0BMHWX63W/ref=sr_1_24?keywords=clothing&qid=1682200303&sr=8-24
"Simple Joys by Carter's Toddler Girls' Short-Sleeve Graphic Tees, Pack of 3  ",4.8 out of 5 stars,9796  ,17.1,https://amazon.com/Simple-Joys-Carters-Toddler-Graphic/dp/B076XS3QCR/ref=sr_1_25?keywords=clothing&qid=1682200303&sr=8-25
"Simple Joys by Carter's Unisex Babies' 4-Piece Jacket, Pant, and Bodysuit Set  ",4.8 out of 5 stars,4412  ,18.6,https://amazon.com/Simple-Joys-Carters-4-Piece-Bodysuit/dp/B07MY1BN8R/ref=sr_1_26?keywords=clothing&qid=1682200303&sr=8-26
"Simple Joys by Carter's Baby Girls' Romper, Sunsuit and Dress, Pack of 3  ",4.8 out of 5 stars,11019  ,23.8,https://amazon.com/Simple-Joys-Carters-Sunsuit-Cherries/dp/B071FSKGZD/ref=sr_1_27?keywords=clothing&qid=1682200303&sr=8-27
EFAN Women's Cute Hoodies Teen Girl Fall Jacket Oversized Sweatshirts Casual Drawstring Clothes Zip Up Y2K Hoodie with Pocket  ,4.4 out of 5 stars,4033  ,36.99,https://amazon.com/EFAN-Oversized-Sweatshirts-Drawstring-Hoodies/dp/B09D2RNYZS/ref=sr_1_28?keywords=clothing&qid=1682200303&sr=8-28
The Children's Place Boys' Short Sleeve Graphic T-Shirt  ,4.8 out of 5 stars,893  ,4.6,https://amazon.com/Childrens-Place-Sleeve-Graphic-T-Shirt/dp/B0BM8L789Q/ref=sr_1_29?keywords=clothing&qid=1682200303&sr=8-29
Amazon Essentials Women's Slim-Fit Half Sleeve Square Neck T-Shirt  ,4.3 out of 5 stars,3796  ,13.52,https://amazon.com/Amazon-Essentials-Womens-Sleeve-T-Shirt/dp/B08J939VJK/ref=sr_1_31?keywords=clothing&qid=1682200303&sr=8-31
The Children's Place Baby Toddler Girls Basic Denim Jacket  ,4.8 out of 5 stars,16815  ,9.98,https://amazon.com/Childrens-Place-Girls-Jacket-Months/dp/B01FWONMLC/ref=sr_1_32?keywords=clothing&qid=1682200303&sr=8-32
SHEWIN Womens Short Sleeve Crewneck Shirts Loose Casual Tee T-Shirt  ,4.1 out of 5 stars,19351  ,22.98,https://amazon.com/Biucly-Womens-Crewneck-Tshirts-Apricot/dp/B08V5B29GB/ref=sr_1_33?keywords=clothing&qid=1682200303&sr=8-33
OVESPORT Workout Shorts for Women Scrunch Butt Lifting High Waisted Yoga Gym Seamless Booty Biker Shorts  ,4.5 out of 5 stars,490  ,32.99,https://amazon.com/OVESPORT-Workout-Scrunch-Lifting-Seamless/dp/B0BD87CNBF/ref=sr_1_34?keywords=clothing&qid=1682200303&sr=8-34
Simple Joys by Carter's Toddlers and Baby Girls' 3-Piece Playwear Set  ,4.8 out of 5 stars,944  ,19.0,https://amazon.com/Simple-Joys-Carters-Playwear-Cherries/dp/B08QW5KSP9/ref=sr_1_35?keywords=clothing&qid=1682200303&sr=8-35
Gerber baby-boys 4 Pack Sleep 'N Play Footie  ,4.7 out of 5 stars,41703  ,23.99,https://amazon.com/Gerber-Sleep-Footie-Jungle-Months/dp/B08BV2M73D/ref=sr_1_36?keywords=clothing&qid=1682200303&sr=8-36
"Hudson Baby Unisex Baby Plush Animal Face Bathrobe, Pretty Elephant, 0-9 Months  ",4.8 out of 5 stars,34851  ,10.99,https://amazon.com/Hudson-Baby-Animal-Bathrobe-Elephant/dp/B074P49GC8/ref=sr_1_37?keywords=clothing&qid=1682200303&sr=8-37
Onesies Brand baby-boys 4-pack Sleep 'N Play Footies  ,4.7 out of 5 stars,15357  ,19.99,https://amazon.com/Onesies-Brand-4-Pack-Footie-Months/dp/B088NV5PWC/ref=sr_1_38?keywords=clothing&qid=1682200303&sr=8-38
Women’s Bootcut Yoga Pants - Flare Leggings for Women High Waisted Crossover Workout Lounge Bell Bottom Jazz Dress Pants  ,4.2 out of 5 stars,3223  ,18.99,https://amazon.com/Womens-Bootcut-Yoga-Pants-Crossover/dp/B0B4N7P4WQ/ref=sr_1_39?keywords=clothing&qid=1682200303&sr=8-39
"Simple Joys by Carter's Baby Boys' Snap-Up Rompers, Pack of 3  ",4.8 out of 5 stars,13016  ,20.0,https://amazon.com/Simple-Joys-Carters-Snap-up-Alligators/dp/B07GKZ3MMK/ref=sr_1_40?keywords=clothing&qid=1682200303&sr=8-40
The Children's Place Baby 2 Pack and Toddler Boys Basic Straight Leg Jeans 2-Pack  ,4.7 out of 5 stars,911  ,13.2,https://amazon.com/Childrens-Place-Toddler-Straight-2-Pack/dp/B08P5587X7/ref=sr_1_41?keywords=clothing&qid=1682200303&sr=8-41
"Simple Joys by Carter's Unisex Babies' Snap-Up Rompers, Pack of 3  ",4.9 out of 5 stars,4488  ,19.0,https://amazon.com/Simple-Joys-Carters-Snap-up-Rompers/dp/B07Y2K17F1/ref=sr_1_42?keywords=clothing&qid=1682200303&sr=8-42
Amazon Essentials Men's Lightweight French Terry Jogger Pant (Available in Big & Tall)  ,4.9 out of 5 stars,19  ,19.92,https://amazon.com/Amazon-Essentials-Lightweight-French-Available/dp/B0BJDFC2PC/ref=sr_1_43?keywords=clothing&qid=1682200303&sr=8-43
"Gerber baby-girls 3-piece Short Sleeve Onesies, Diaper Cover & Headband Set  ",4.7 out of 5 stars,192  ,15.0,https://amazon.com/Gerber-3-Piece-Sleeve-Onesies-Headband/dp/B09Q96RFJ7/ref=sr_1_44?keywords=clothing&qid=1682200303&sr=8-44
