product,rating,rating count,price,product url
Amazon Essentials Women's Short-Sleeve Woven Blouse  ,4.1 out of 5 stars,6217  ,23.7,https://amazon.com/Amazon-Essentials-Short-Sleeve-Leopard-XX-Large/dp/B082ZTGN5Y/ref=sr_1_2?keywords=clothing&qid=1682203563&sr=8-2
SOLY HUX Women's Casual Elastic Shorts Running High Waisted Color Block Sweat Shorts with Pockets  ,4.3 out of 5 stars,475  ,24.99,https://amazon.com/SOLY-HUX-Elastic-Waisted-Multicoloured/dp/B09F39YR1X/ref=sr_1_3?keywords=clothing&qid=1682203563&sr=8-3
The Children's Place Girls' Short Sleeve Graphic T-Shirt  ,4.7 out of 5 stars,1277  ,4.6,https://amazon.com/Childrens-Place-Sleeve-Graphic-T-Shirt/dp/B0BRNWLTNX/ref=sr_1_4?keywords=clothing&qid=1682203563&sr=8-4
Onesies Brand baby-boys 8-pack Short Sleeve Mix & Match Bodysuits  ,4.7 out of 5 stars,7917  ,18.99,https://amazon.com/Onesies-Brand-8-Pack-Bodysuits-Dangerously/dp/B0863JB19K/ref=sr_1_5?keywords=clothing&qid=1682203563&sr=8-5
Simple Joys by Carter's Toddlers and Baby Boys' Swimsuit Trunk and Rashguard  ,4.8 out of 5 stars,38154  ,15.2,https://amazon.com/Simple-Joys-Carters-Swimsuit-Rashguard/dp/B07211SR5Q/ref=sr_1_6?keywords=clothing&qid=1682203563&sr=8-6
"Simple Joys by Carter's Baby Girls' Short-Sleeve Bodysuit, Pack of 6  ",4.8 out of 5 stars,42636  ,18.1,https://amazon.com/Simple-Joys-Carters-Short-Sleeve-Bodysuits/dp/B08XW8S86J/ref=sr_1_7?keywords=clothing&qid=1682203563&sr=8-7
"Gildan Men's Crew T-Shirts, Multipack, Style G1100  ",4.6 out of 5 stars,250434  ,19.99,https://amazon.com/Gildan-Mens-T-Shirt-Assortment-X-Large/dp/B077ZJXCTS/ref=sr_1_8?keywords=clothing&qid=1682203563&sr=8-8
"Simple Joys by Carter's Baby Girls' Snap-Up Rompers, Pack of 3  ",4.8 out of 5 stars,20992  ,20.0,https://amazon.com/Simple-Joys-Carters-Snap-up-Rompers/dp/B071ZRMNTK/ref=sr_1_9?keywords=clothing&qid=1682203563&sr=8-9
OQQ Women's 2 Piece Crop Top Ribbed Seamless Workout Exercise Long Sleeve Crop Tops  ,4.5 out of 5 stars,2005  ,34.99,https://amazon.com/OQQ-Womens-Seamless-Workout-Exercise/dp/B0B65FLY1V/ref=sr_1_10?keywords=clothing&qid=1682203563&sr=8-10
"Simple Joys by Carter's Babies, Toddlers, and Boys' Knit Shorts, Multipacks  ",4.8 out of 5 stars,14523  ,23.1,https://amazon.com/Simple-Joys-Carters-3-Pack-Shorts/dp/B07GP3J9QB/ref=sr_1_11?keywords=clothing&qid=1682203563&sr=8-11
Amazon Essentials Women's Brushed Tech Stretch Crop Jogger Pant (Available in Plus Size)  ,4.4 out of 5 stars,3840  ,23.7,https://amazon.com/Amazon-Essentials-Brushed-Stretch-Spacedye/dp/B07FK1FXNL/ref=sr_1_12?keywords=clothing&qid=1682203563&sr=8-12
"Simple Joys by Carter's Babies, Toddlers, and Boys' Short-Sleeve Pocket Henley Tee Shirt, Pack of 3  ",4.8 out of 5 stars,8399  ,29.6,https://amazon.com/Simple-Joys-Carters-Toddler-3-Pack/dp/B075X6CQK7/ref=sr_1_13?keywords=clothing&qid=1682203563&sr=8-13
Simple Joys by Carter's Toddlers and Baby Girls' 3-Piece Playwear Set  ,4.8 out of 5 stars,7859  ,20.0,https://amazon.com/Simple-Joys-Carters-Playwear-Chambray/dp/B07ZPQ1QZ6/ref=sr_1_14?keywords=clothing&qid=1682203563&sr=8-14
"Amazon Essentials Women's Slim Fit Square Neck Tank, Pack of 2  ",4.5 out of 5 stars,811  ,19.0,https://amazon.com/Amazon-Essentials-Womens-2-Pack-Square/dp/B09HSSQJ45/ref=sr_1_15?keywords=clothing&qid=1682203563&sr=8-15
"PHISOCKAT 2 Pack High Waist Yoga Pants with Pockets, Tummy Control Leggings, Workout 4 Way Stretch Yoga Leggings  ",4.6 out of 5 stars,21859  ,31.98,https://amazon.com/PHISOCKAT-Pockets-Control-Workout-Leggings/dp/B07YZ8PQDQ/ref=sr_1_16?keywords=clothing&qid=1682203563&sr=8-16
Amazon Essentials Women's Stretch Pull-On Jegging (Available in Plus Size)  ,4.2 out of 5 stars,14858  ,34.4,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0086732XXKDKX8X0GSN&qualifier=1682203563&id=8591618705150370&widgetName=sp_mtf&url=%2FAmazon-Essentials-Womens-Jegging-Medium%2Fdp%2FB07ZG71FFB%2Fref%3Dsr_1_17_ffob_sspa%3Fkeywords%3Dclothing%26qid%3D1682203563%26sr%3D8-17-spons%26psc%3D1
MEROKEETY Women's Casual Cap Sleeve Lace Trim V Neck Tops 2023 Summer Loose Tee Shirts Blouse  ,4.7 out of 5 stars,29  ,20.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A073746331DKLSXAUJUJK&qualifier=1682203563&id=8591618705150370&widgetName=sp_mtf&url=%2FMEROKEETY-Womens-Patchwork-V-Neck-Lightweight%2Fdp%2FB0BXT7LL6B%2Fref%3Dsr_1_18_sspa%3Fkeywords%3Dclothing%26qid%3D1682203563%26sr%3D8-18-spons%26psc%3D1
Match Women V-Neck Long Sleeve Plain Irregular Pockets Long Dress #152  ,4.3 out of 5 stars,705  ,16.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0430972Y9XPXKR4IX4D&qualifier=1682203563&id=8591618705150370&widgetName=sp_mtf&url=%2FMatch-V-Neck-Sleeve-Irregular-Pockets%2Fdp%2FB08PVMM66J%2Fref%3Dsr_1_19_sspa%3Fkeywords%3Dclothing%26qid%3D1682203563%26sr%3D8-19-spons%26psc%3D1
FMEYOA Women's Casual Boho Floral Printed V Neck Tops Short Layered Sleeve Summer Loose Blouse Shirts  ,3.8 out of 5 stars,26  ,24.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A02398913IU31JQECVZ6A&qualifier=1682203563&id=8591618705150370&widgetName=sp_mtf&url=%2FFMEYOA-Womens-Casual-Printed-Layered%2Fdp%2FB0BRKB5LSV%2Fref%3Dsr_1_20_sspa%3Fkeywords%3Dclothing%26qid%3D1682203563%26sr%3D8-20-spons%26psc%3D1
"Simple Joys by Carter's Baby Boys' Rompers, Pack of 3  ",4.8 out of 5 stars,15048  ,23.8,https://amazon.com/Simple-Joys-Carters-Rompers-Turquoise/dp/B071JNL7MD/ref=sr_1_21?keywords=clothing&qid=1682203563&sr=8-21
Simple Joys by Carter's Baby Boys' 4-Piece Playwear Set  ,4.8 out of 5 stars,9110  ,22.8,https://amazon.com/Simple-Joys-Carters-4-Piece-Playwear/dp/B071JNLC54/ref=sr_1_22?keywords=clothing&qid=1682203563&sr=8-22
Gerber baby-girls 8-pack Short Sleeve Onesies Bodysuits  ,4.8 out of 5 stars,24777  ,21.99,https://amazon.com/Gerber-8-Pack-Short-Sleeve-Onesies-Bodysuit/dp/B07GG1VGML/ref=sr_1_23?keywords=clothing&qid=1682203563&sr=8-23
"Simple Joys by Carter's Baby Girls' Long-Sleeve Bodysuit, Pack of 5  ",4.8 out of 5 stars,37068  ,16.1,https://amazon.com/Simple-Joys-Carters-Long-Sleeve-Bodysuit/dp/B01M2CO9DQ/ref=sr_1_24?keywords=clothing&qid=1682203563&sr=8-24
Danedvi Women Fashion V-Neck Half Sleeves Oversized T Shirt Solid Casual Loose Basic Tops  ,3.7 out of 5 stars,6319  ,22.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0226823MAB8A92HT3K8&qualifier=1682203563&id=8591618705150370&widgetName=sp_mtf&url=%2FDanedvi-Fashion-V-Neck-Sleeves-Oversized%2Fdp%2FB09929JQS1%2Fref%3Dsr_1_25_sspa%3Fkeywords%3Dclothing%26qid%3D1682203563%26sr%3D8-25-spons%26psc%3D1%26smid%3DA3DYKY6QH2I5OP
TACVASEN Women's Short Sleeve Shirts Sun Protection T-Shrit UPF 50+ Quick Dry Outdoor Yoga Running Gym Workout Tops  ,4.5 out of 5 stars,197  ,18.98,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0183175OCLKFHPRULCL&qualifier=1682203563&id=8591618705150370&widgetName=sp_mtf&url=%2FTACVASEN-Outdoor-Running-Workout-Protection%2Fdp%2FB091628YJ4%2Fref%3Dsr_1_26_sspa%3Fkeywords%3Dclothing%26qid%3D1682203563%26sr%3D8-26-spons%26psc%3D1%26smid%3DA316SIRIW8TU6I
