product,rating,rating count,price,product url
The Children's Place Girls' Short Sleeve Graphic T-Shirt  ,4.7 out of 5 stars,1276  ,4.6,https://amazon.com/Childrens-Place-Sleeve-Graphic-T-Shirt/dp/B0BRNWLTNX/ref=sr_1_1?keywords=clothing&qid=1682183211&sr=8-1
Onesies Brand baby-boys 8-pack Short Sleeve Mix & Match Bodysuits  ,4.7 out of 5 stars,7917  ,18.99,https://amazon.com/Onesies-Brand-8-Pack-Bodysuits-Dangerously/dp/B0863JB19K/ref=sr_1_2?keywords=clothing&qid=1682183211&sr=8-2
Amazon Essentials Women's Short-Sleeve Woven Blouse  ,4.1 out of 5 stars,6216  ,23.7,https://amazon.com/Amazon-Essentials-Short-Sleeve-Leopard-XX-Large/dp/B082ZTGN5Y/ref=sr_1_3?keywords=clothing&qid=1682183211&sr=8-3
OQQ Women's 2 Piece Crop Top Ribbed Seamless Workout Exercise Long Sleeve Crop Tops  ,4.5 out of 5 stars,2004  ,34.99,https://amazon.com/OQQ-Womens-Seamless-Workout-Exercise/dp/B0B65FLY1V/ref=sr_1_4?keywords=clothing&qid=1682183211&sr=8-4
"Amazon Essentials Women's Slim Fit Square Neck Tank, Pack of 2  ",4.5 out of 5 stars,811  ,19.0,https://amazon.com/Amazon-Essentials-Womens-2-Pack-Square/dp/B09HSSQJ45/ref=sr_1_7?keywords=clothing&qid=1682183211&sr=8-7
SOLY HUX Women's Casual Elastic Shorts Running High Waisted Color Block Sweat Shorts with Pockets  ,4.3 out of 5 stars,475  ,24.99,https://amazon.com/SOLY-HUX-Elastic-Waisted-Multicoloured/dp/B09F39YR1X/ref=sr_1_10?keywords=clothing&qid=1682183211&sr=8-10
"Simple Joys by Carter's Babies, Toddlers, and Boys' Short-Sleeve Pocket Henley Tee Shirt, Pack of 3  ",4.8 out of 5 stars,8399  ,29.6,https://amazon.com/Simple-Joys-Carters-Toddler-3-Pack/dp/B075X6CQK7/ref=sr_1_13?keywords=clothing&qid=1682183211&sr=8-13
Simple Joys by Carter's Toddlers and Baby Girls' 3-Piece Playwear Set  ,4.8 out of 5 stars,7859  ,20.0,https://amazon.com/Simple-Joys-Carters-Playwear-Chambray/dp/B07ZPQ1QZ6/ref=sr_1_14?keywords=clothing&qid=1682183211&sr=8-14
Womens Short Sleeve Summer Tops for Leggings Loose Fit Button Pullover Blouse Shirts with Shirring Hem S-3XL  ,4.4 out of 5 stars,2274  ,21.24,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A05514872WPZEMZY9SGRB&qualifier=1682183211&id=1480765024972809&widgetName=sp_mtf&url=%2FWomens-Sleeve-Flower-Blouse-Summer%2Fdp%2FB09T71ZR5B%2Fref%3Dsr_1_18_sspa%3Fkeywords%3Dclothing%26qid%3D1682183211%26sr%3D8-18-spons%26psc%3D1
MEROKEETY Women's Casual Cap Sleeve Lace Trim V Neck Tops 2023 Summer Loose Tee Shirts Blouse  ,4.7 out of 5 stars,29  ,20.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A073746331DKLSXAUJUJK&qualifier=1682183211&id=1480765024972809&widgetName=sp_mtf&url=%2FMEROKEETY-Womens-Patchwork-V-Neck-Lightweight%2Fdp%2FB0BXT7LL6B%2Fref%3Dsr_1_19_sspa%3Fkeywords%3Dclothing%26qid%3D1682183211%26sr%3D8-19-spons%26psc%3D1
Women Oversized T-Shirt Summer Casual Short Sleeve Loose Tee Tops  ,4.3 out of 5 stars,185  ,23.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A09272121NNEPKRZQSMYR&qualifier=1682183211&id=1480765024972809&widgetName=sp_mtf&url=%2FOversized-T-Shirt-Summer-Casual-Sleeve%2Fdp%2FB09YRJ1LJJ%2Fref%3Dsr_1_20_sspa%3Fkeywords%3Dclothing%26qid%3D1682183211%26sr%3D8-20-spons%26psc%3D1
Simple Joys by Carter's Baby Boys' 4-Piece Playwear Set  ,4.8 out of 5 stars,9110  ,22.8,https://amazon.com/Simple-Joys-Carters-4-Piece-Playwear/dp/B071JNLC54/ref=sr_1_21?keywords=clothing&qid=1682183211&sr=8-21
Naturwool Womens Merino Wool T-Shirt Crew Neck Tank Tops Tee Shirts - Wicking Anti-Odor  ,4.3 out of 5 stars,33  ,27.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A04319483SKG6QECIL6RU&qualifier=1682183211&id=1480765024972809&widgetName=sp_mtf&url=%2FNaturwool-Womens-Merino-T-Shirt-Shirts%2Fdp%2FB09TXGL4H2%2Fref%3Dsr_1_25_sspa%3Fkeywords%3Dclothing%26qid%3D1682183211%26sr%3D8-25-spons%26psc%3D1
Match Women V-Neck Long Sleeve Plain Irregular Pockets Long Dress #152  ,4.3 out of 5 stars,705  ,16.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0430972Y9XPXKR4IX4D&qualifier=1682183211&id=1480765024972809&widgetName=sp_mtf&url=%2FMatch-V-Neck-Sleeve-Irregular-Pockets%2Fdp%2FB08PVMM66J%2Fref%3Dsr_1_26_sspa%3Fkeywords%3Dclothing%26qid%3D1682183211%26sr%3D8-26-spons%26psc%3D1
