product,rating,rating count,price,product url
The Children's Place Big Girls' Short Sleeve Graphic T-Shirt  ,4.7 out of 5 stars,"1,270  ",4.6,https://amazon.com/Childrens-Place-Sleeve-Graphic-T-Shirt/dp/B0BRNWLTNX/ref=sr_1_1?keywords=clothing&qid=1682122003&sr=8-1
Lviefent Womens Lightweight Full Zip Running Track Jacket Workout Slim Fit Yoga Sportwear with Thumb Holes  ,4.4 out of 5 stars,"4,630  ",20.35,https://amazon.com/Lviefent-Lightweight-Running-Workout-Sportwear/dp/B091BVBJPD/ref=sr_1_2?keywords=clothing&qid=1682122003&sr=8-2
Amazon Essentials Women's Short-Sleeve Woven Blouse  ,4.1 out of 5 stars,"6,196  ",23.7,https://amazon.com/Amazon-Essentials-Short-Sleeve-Leopard-XX-Large/dp/B082ZTGN5Y/ref=sr_1_3?keywords=clothing&qid=1682122003&sr=8-3
Hanes Men's EcoSmart Sweatshirt  ,4.6 out of 5 stars,"156,516  ",14.0,https://amazon.com/Hanes-EcoSmart-Fleece-Sweatshirt-Stonewashed/dp/B071JYV6LN/ref=sr_1_4?keywords=clothing&qid=1682122003&sr=8-4
"Amazon Essentials Women's Slim Fit Square Neck Tank, Pack of 2  ",4.5 out of 5 stars,802  ,19.0,https://amazon.com/Amazon-Essentials-Womens-2-Pack-Square/dp/B09HSSQJ45/ref=sr_1_5?keywords=clothing&qid=1682122003&sr=8-5
Hudson Baby Unisex Baby Cotton Sleeveless Bodysuits  ,4.8 out of 5 stars,"33,508  ",15.99,https://amazon.com/Hudson-Baby-Sleeveless-Cotton-Bodysuits/dp/B079YFV6B8/ref=sr_1_6?keywords=clothing&qid=1682122003&sr=8-6
OQQ Women's 2 Piece Crop Top Ribbed Seamless Workout Exercise Long Sleeve Crop Tops  ,4.5 out of 5 stars,"1,997  ",34.99,https://amazon.com/OQQ-Womens-Seamless-Workout-Exercise/dp/B0B65FLY1V/ref=sr_1_7?keywords=clothing&qid=1682122003&sr=8-7
The Children's Place Baby Toddler Girls Short Sleeve Graphic T-Shirt  ,4.7 out of 5 stars,264  ,4.2,https://amazon.com/Childrens-Place-Toddler-Graphic-Baby-Girls/dp/B0BM8MXS1P/ref=sr_1_8?keywords=clothing&qid=1682122003&sr=8-8
Onesies Brand baby-boys 8-pack Short Sleeve Mix & Match Bodysuits  ,4.7 out of 5 stars,"7,905  ",18.99,https://amazon.com/Onesies-Brand-8-Pack-Bodysuits-Dangerously/dp/B0863JB19K/ref=sr_1_9?keywords=clothing&qid=1682122003&sr=8-9
SOLY HUX Women's Casual Elastic Shorts Running High Waisted Color Block Sweat Shorts with Pockets  ,4.3 out of 5 stars,469  ,24.99,https://amazon.com/SOLY-HUX-Elastic-Waisted-Multicoloured/dp/B09F39YR1X/ref=sr_1_10?keywords=clothing&qid=1682122003&sr=8-10
